type,M,T,W,TR,F
still,,,,229.9,
still,,,,230.1,
still,,,,230.2,
still,,,,230.5,
still,,,,230.4,
still,,,,230.8,
still,,,,230.8,
still,,,,230.8,
still,,,,231.2,
still,,,,231.1,
still,,,,231.3,
still,,,,231.1,
still,,,,230.9,
still,,,,244.4,
still,,,,242.1,
still,,,,244.9,
still,,,,245.1,
still,,,,245.2,
still,,,,244.7,
still,,,,245.8,
still,,,,244.2,
still,,,,244.4,
still,,,,244.2,
still,,,,244.7,
still,,,,244.5,
still,,,,247.6,
still,,,,244.6,
still,,,,245.6,
still,,,,245.5,
still,,,,244.9,
still,,,,244,
still,,,,244.1,
still,,,,244.1,
still,,,,244.2,
still,,,,244.1,
still,,,,246.8,
still,,,,244.4,
still,,,,246.6,
still,,,,246.1,
still,,,,246.3,
still,,,,246.3,
still,,,,246.2,
still,,,,246.2,
still,,,,245.9,
still,,,,246.2,
still,,,,246.6,
still,,,,246.4,
still,,,,247,
still,,,,240.1,
still,,,,248.9,
still,,,,244,
still,,,,246.3,
still,,,,246.3,
still,,,,246.6,
still,,,,246.5,
still,,,,246.7,
flowing,670.3,380.1,561.3,,
flowing,670.3,382.4,563.4,,
flowing,670.5,384.9,565.3,,
flowing,670.6,386.8,567.2,,
flowing,670.4,388.6,568.9,,
flowing,670.6,390.2,570,,
flowing,670.8,391.4,571.1,,
flowing,670.9,392.8,572.3,,
flowing,671,394.5,573.1,,
flowing,671.2,396.1,573.9,,
flowing,671.7,397.3,574.9,,
flowing,671.7,398.5,575.4,,
flowing,672.3,400,576.4,,
flowing,671.6,401.1,577.5,,
flowing,672.2,401.7,578.6,,
flowing,672.3,402.8,579.5,,
flowing,672.4,403.8,580.3,,
flowing,672.6,404.6,581.3,,
flowing,672.7,405.8,581.8,,
flowing,673,406.8,582.2,,
flowing,673.3,407.6,583.4,,
flowing,673.3,408.6,583.6,,
flowing,673.5,409.7,584.4,,
flowing,673.8,410.5,584.7,,
flowing,673.9,411.3,585.2,,
flowing,673.9,412.3,586.1,,
flowing,674,413.1,586.9,,
flowing,674.1,413.8,587.6,,
flowing,674.3,414.2,587.8,,
flowing,674.5,415.1,588.1,,
flowing,674.4,416.3,588.3,,
flowing,675.6,416.7,589.3,,
flowing,675,416.9,589.8,,
flowing,675.4,417.4,590.8,,
flowing,675.7,418.4,591.6,,
flowing,675.7,418.9,592.1,,
flowing,676,419.2,592.4,,
flowing,675.9,419.9,592.6,,
flowing,676,420.4,592.4,,
flowing,676.2,421.2,593.6,,
flowing,676.3,422,594.1,,
flowing,676.3,422.3,594.4,,
flowing,676.6,422.8,595.1,,
flowing,676.6,422.7,595.3,,
flowing,676.7,423.1,595.8,,
flowing,676.9,423.1,596.5,,
flowing,677,424.2,597.2,,
flowing,676.8,424.8,597.9,,
flowing,676.8,425,599,,
flowing,676.7,425.9,599.6,,
flowing,676.7,425.9,600.3,,
flowing,676.9,426.8,600.9,,
flowing,677,427.1,601.6,,
flowing,677,427.8,602.3,,
flowing,677.3,428.9,602.8,,
flowing,677.2,429.6,603.4,,
flowing,677.3,429.7,604.1,,
flowing,677.5,429.9,604.8,,
flowing,677.6,430.5,604.9,,
flowing,678,430.8,604.8,,
flowing,678.1,430.9,605.1,,
flowing,678.6,431.8,605.9,,
flowing,678.6,431.9,606.6,,
flowing,678.5,432.7,606.9,,
flowing,679,433,607.8,,
flowing,679.1,433.5,608.2,,
flowing,679.4,434,608.8,,
flowing,679.3,434.1,609.4,,
flowing,679.5,434.4,610.1,,
flowing,679.5,434.9,610.4,,
flowing,679.6,436.2,611.1,,
flowing,679.7,434.5,611.5,,
flowing,678.3,435.7,611.6,,
flowing,680.8,436.6,611.9,,
flowing,681.3,437.1,612.1,,
flowing,,437.5,612.4,,
flowing,,438,614.5,,
flowing,,438.3,615.1,,
flowing,,438.6,615.5,,
flowing,,439.6,615.9,,
flowing,,439.6,616.5,,
flowing,,439.8,616.4,,
flowing,,440.2,616.3,,
flowing,,440.4,616.9,,
flowing,,440.6,617.3,,
flowing,,440.8,617.5,,
flowing,,442.1,617.8,,
flowing,,441.2,618.2,,
flowing,,442,618.4,,
flowing,,442.6,618.4,,
flowing,,442.7,619,,
flowing,,442.8,619.7,,
flowing,,442.4,620.4,,
flowing,,442.9,621,,
flowing,,444.3,621.5,,
flowing,,443.7,622,,
flowing,,444.1,622.3,,
flowing,,444.3,622.4,,
flowing,,444.9,622.8,,
flowing,,445.8,623.1,,
flowing,,445.7,623.7,,
flowing,,446.4,624,,
flowing,,446.1,624.8,,
flowing,,447.1,625.1,,
flowing,,446.9,625.4,,
flowing,,447.2,625.8,,
flowing,,447.5,625.9,,
flowing,,447.6,626.1,,
flowing,,448.1,626.4,,
flowing,,422.6,626.9,,
flowing,,423,627.6,,
flowing,,424.7,627.9,,
flowing,,425.4,628.4,,
flowing,,426.3,628.8,,
flowing,,429.3,628.9,,
flowing,,,629.4,,
flowing,,,629.8,,
flowing,,,630,,
flowing,,,630.3,,
flowing,,,630.6,,
flowing,,,630.8,,
flowing,,,631.2,,
flowing,,,631.4,,
flowing,,,631.9,,
flowing,,,632.4,,
flowing,,,632.6,,
flowing,,,633,,
flowing,,,633.3,,
flowing,,,633.6,,
flowing,,,633.7,,
flowing,,,634.5,,
flowing,,,634.8,,
flowing,,,635.2,,
flowing,,,635.3,,
flowing,,,635.6,,
flowing,,,635.4,,
flowing,,,636,,
flowing,,,636,,
flowing,,,636.2,,
flowing,,,636.1,,
flowing,,,636.4,,
flowing,,,636.6,,
flowing,,,637,,
flowing,,,637.3,,
flowing,,,637.5,,
flowing,,,637.8,,
flowing,,,638.1,,
flowing,,,638.6,,
flowing,,,639.1,,
flowing,,,639.3,,
flowing,,,639.5,,
flowing,,,640.1,,
flowing,,,640.1,,
flowing,,,640.3,,
flowing,,,640.5,,
flowing,,,640.6,,
flowing,,,640.9,,
flowing,,,641.3,,
flowing,,,641.4,,
flowing,,,641.3,,
flowing,,,641.3,,
flowing,,,641.8,,
flowing,,,642.2,,
flowing,,,642.5,,
flowing,,,642.9,,
flowing,,,643.1,,
flowing,,,643.6,,
flowing,,,643.8,,
flowing,,,643.6,,
flowing,,,643.9,,
flowing,,,644.1,,
flowing,,,644.1,,
flowing,,,644.5,,
flowing,,,645,,
flowing,,,645.1,,
flowing,,,645.2,,
flowing,,,645.5,,
flowing,,,645.8,,
flowing,,,646.2,,
flowing,,,646.6,,
flowing,,,646.6,,
flowing,,,647,,
flowing,,,647.4,,
flowing,,,647.4,,
flowing,,,647.9,,
flowing,,,648,,
flowing,,,648.7,,
flowing,,,648.9,,
flowing,,,649.1,,
flowing,,,649.4,,
flowing,,,649.5,,
flowing,,,649.9,,
flowing,,,650.1,,
flowing,,,650.5,,
flowing,,,650.5,,
flowing,,,650.3,,
flowing,,,650.5,,
flowing,,,651,,
flowing,,,651.3,,
flowing,,,651.1,,
flowing,,,651.5,,
flowing,,,651.5,,
flowing,,,651.5,,
flowing,,,652,,
flowing,,,652.3,,
flowing,,,652.5,,
flowing,,,652.7,,
flowing,,,652.9,,
flowing,,,653.2,,
flowing,,,653.2,,
flowing,,,653.3,,
flowing,,,653.7,,
flowing,,,654.1,,
flowing,,,654.3,,
flowing,,,654.1,,
flowing,,,654.2,,
flowing,,,654.3,,
flowing,,,654.3,,
flowing,,,654.3,,
flowing,,,654.6,,
flowing,,,654.7,,
flowing,,,655.1,,
flowing,,,655.5,,
flowing,,,655.8,,
flowing,,,655.9,,
flowing,,,656.1,,
flowing,,,656.2,,
flowing,,,656.3,,
flowing,,,656.4,,
flowing,,,656.5,,
flowing,,,656.9,,
flowing,,,657.4,,
flowing,,,657.8,,
flowing,,,657.6,,
flowing,,,657.5,,
flowing,,,657.8,,
flowing,,,658.1,,
flowing,,,658.5,,
flowing,,,658.8,,
flowing,,,658.9,,
flowing,,,658.9,,
flowing,,,659,,
flowing,,,659,,
flowing,,,658.8,,
flowing,,,659.3,,
flowing,,,659.3,,
flowing,,,659.6,,
flowing,,,660,,
flowing,,,660.2,,
flowing,,,659.9,,
flowing,,,660,,
flowing,,,660.2,,
flowing,,,660.3,,
flowing,,,660.1,,
flowing,,,660.5,,
flowing,,,660.6,,
flowing,,,661,,
flowing,,,661.5,,
flowing,,,661.6,,
flowing,,,661.6,,
flowing,,,661.6,,
flowing,,,662.4,,
flowing,,,662.3,,
flowing,,,662.4,,
flowing,,,662.2,,
flowing,,,662.6,,
flowing,,,662.8,,
flowing,,,662.8,,
flowing,,,663,,
flowing,,,663.1,,
flowing,,,663.1,,
flowing,,,663.1,,
flowing,,,663.3,,
flowing,,,663.4,,
flowing,,,663.3,,
flowing,,,663.5,,
flowing,,,663.6,,
flowing,,,664,,
flowing,,,664.3,,
flowing,,,664.6,,
flowing,,,664.8,,
flowing,,,665.1,,
flowing,,,665.2,,
flowing,,,664.8,,
flowing,,,664.7,,
flowing,,,665,,
flowing,,,664.9,,
flowing,,,665,,
flowing,,,665.2,,
flowing,,,665.5,,
flowing,,,665.7,,
flowing,,,666,,
flowing,,,666.3,,
flowing,,,666.4,,
flowing,,,666.8,,
flowing,,,667,,
flowing,,,667.3,,
flowing,,,667.3,,
flowing,,,667.3,,
flowing,,,667.2,,
